,text,source,offset
1425,I believe this culture change is happening worldwide and considered it is usual these days .,,
1426,"When my grandparents are young , they said they remembered that their parents were interacting with the community deeply and felt normal that they had to live in that way .",deeply,18
1427,"At the time when my grandparents are little , the Words War II was happening therefore , strong bond in the community was needed more than nowadays .",strong;bond,17;18
1428,Young teenagers were there to look after the little children and help the old people .,,
1429,That was something they all had to do in order to survive .,,
1430,"However , as the war ended and my parent s generation was born , there was not so much situations needed for people to stick together because that was the only way to survive .",stick,24
1431,My parent s said that they remember that their parent s tell them to care about community and help them since that is how their parent s grew up but my parent s said that they never really understood why .,,
1432,I also do not remember my parents teaching me to interact with community and spend time for it .,interact;spend,10;14
1433,"This can be because in my 17 years of life , I moved more than 10 times because of my father s job and every time I moved to new community , it was hard for our family to join easily .",,
1434,So we were kind of giving up on this kind of culture .,,
1435,"Even if the person never moved around so much , I believe not many people like to interact with community because people became colder about the connection with different people .",colder;connection,23;26
1436,"In western and some parts of eastern countries , the cultural change in religion was also significance to this change .",,
1437,"In old days , religion was strict and if you are christian , you had to attend to mass every Sunday .",strict,6
1438,"However , nowadays , attending to mass is quite free and not many people criticisms you if you do not attend to the mass .",,
1439,"However , it does not mean that spending time for community is wastful because people are acting in this way .",spending;wastful,7;12
1440,Human beings can not live without interacting each other and it is very imporant to be a well being and help each other without benefits .,,
1441,"It is very sad that nowadays young people are not spending enough time for community and for our future , we should connect with people more and create comfortable community .",spending;connect;create;comfortable,10;22;27;28
1442,It is such a hard thing to predict whether in twenty years there will be fewer cars in use than there is today or not .,,
1443,There are so many factors leading to the decrease in the number of cars .,leading,5
1444,"Some of these factors are the ever increasing oil price , the scarcity of gasoline and the high cost of car maintenance .",,
1445,"However , there are other factors promoting the use of cars and thus will result in more number of cars in the future .",promoting,6
1446,"In my opinion , I think that the number of cars wonotdecrease .",,
1447,"In fact , I think that there will be more cars in the future , than there are today .",,
1448,"One reason that may lead to the increase in the number of cars used , is the increasing number in population .",lead,4
1449,"The number of people is increasing world wide , and lots of countries are having population control problem .",,
1450,"So , the more people there is , the more the need for cars and transport services .",,
1451,Another reason is the advancement in Science .,advancement,4
1452,"Scientists are finding new energy sources that are abundant , less pollutant and cheap .",,
1453,"Having a cheap energy source decreases the running cost of owning a car , and thus encourages more people to purchase and own cars .",encourages,16
1454,"Moreover , having this source as clean and not a pollutant for the air or the environment will make it easier in terms of regulations to obtain a car .",,
1455,"Last but not least , the advancement in technology is another key reason .",advancement;key,6;11
1456,Advancement in technology will increase the number of cars significantly .,Advancement,0
1457,"With technology advancing , car manufacturers are able to lower their cost of production for cars .",advancing,2
1458,"Thus , it will be possible to produce cheaper cars in shorter periods of time .",,
1459,"Also , the advancement in technology makes it possible for governments to be able to build more bridges and to maintain healthy roads to accomodate more cars .",advancement;healthy,3;21
1460,"To sum up , Its like a supply and demand issue .",,
1461,"With the advancement in science and technology , resulting in increase in supply , and the increasing number of population , resulting in increase in demand , owning a car will be easy and effective .",advancement,2
1462,"So , in Twenty years from now , there will be more cars in use than there are today .",,
1463,I agree with the statement that young people nowadays do not give enough time to helping their communities .,give,11
1464,"Not many young people are seen in community activities , and it seems like their interest is not at their local .",,
1465,Three reasons can be thought of when thinking about this issue .,,
1466,"Firstly , young people seem to be busy with their own life , and has less interest in their own communities .",busy;with,7;8
1467,This is because their everyday life is basically at the school or university .,,
1468,"There , they study on subjects they have interest in , and they may also be participating in a circle or an after school activitiy .",circle,19
1469,"It can be guessed that young people spend more time there , instead of helping out at local communities .",spend,7
1470,"Secondly , the community itself is not systematically organized for young people to participate .",,
1471,The problem of Japanese society now is that the local communities are not working out in many places because people have less contact with their neighbors .,working;out,13;14
1472,"For example , in big cities with people living in high building appartments , it is normal for people to not know most of the people who live there .",,
1473,"You might see some people once in a while , but in a busy life , there is rarely a chance to really get together to form a community .",form,26
1474,"Therefore , young people do not spend time to help out in their communities .",spend,6
1475,"Lastly , the local communities are mainly run by older people , such as people who have retired jobs and have more time .",run;have,7;20
1476,These people gather and organize community activities and spread it to neighbors .,spread,8
1477,"For example , it takes time to organize an event in the community .",takes,4
1478,"You need to plan out things to do , and also go knock on doors to ask for participation .",,
1479,"When there are not enough people , you struggle more and have to work harder .",struggle,8
1480,So it is natural to say that people who have more time has more chance to participate and help out in the community .,have,9
1481,This might be one of the reasons that youg people spend less time in community when compared with older people .,spend,10
1482,"From these three points that I have stated above , I agree that young people nowadays do not give enough time to helping their communities .",give,18
1483,"Young people might be energetic and be a big help , but when their interest is somewhere else , it is difficult to bring back their attention .",somewhere;bring;back,16;23;24
1484,I donotagree with the best way to travel is in a group led by a tour guide .,,
1485,There are some reasons to dislike to be led by a tour guide while I am traveling in a group .,,
1486,It is not agreeable to my taste .,taste,6
1487,"First , our time is restricted by a tour guide .",restricted,5
1488,That s mean that we canotgo somewhere freely .,,
1489,"At my culture trip on my school event , we canotbehave freely because there is a guide .",,
1490,we have experience many times .,,
1491,We canotbehave freely .,,
1492,"It is hard for us to spend , because ew have to write reports about the place , so we have to be led by a tour guide even we donotlike it .",spend,6
1493,"Second , a tour guide sometime tells a lie .",,
1494,"Last week , I had a culture trip in Switzerland .",,
1495,"I had prepared against report trip , but they are not accorded between the explanation of the document that i had prepared and the explanation of a tour guide , so sometime I am confused , so it is trouble for me to write the reports .",,
1496,"Finally , I think that the best way to travel in a group is that to behave oneself .",,
1497,This action is very good for experiencing some thing in that place .,,
1498,This thing is happy for enjoying at that place .,,
1499,To be led by a tour guide is not happy and awful .,,
1500,"Sometime the explanation of a tour guide is useful and not interesting , so many people shoud travel by own .",,
1501,Sometime we can learn something that a tour guide doesnotknow .,,
1502,"Wherever we go , what ever we find .",,
1503,"There are something who doesnotknow , so when people travel , they should not ask a tour guide , It canotenjoy and become bad trip , so we need to travel without a tour guide .",,
1504,I do not agree nor disagree with the statement .,,
1505,"I strongly believe there are advantages as well as disadvantages in all phases of life , in youth as in old age .",phases,12
1506,"It is generally agreed that young people have strong physical qualities , more energy , and a wide range of opportunities potentially available to them : their life isnotwritten yet .",have;wide;written,7;17;30
1507,"At the same time , older people are weaker , need medical attention with higher probabilities , and do not have many of the choices young people have : because , as you grow older , it becomes too late to seize an increasing number of opportunities , and more doors are closed , so to speak in particular career-wise .",have;too;late;seize;doors;closed,20;38;39;41;50;52
1508,"For example , if a young woman pursuing a career in acting and attending theater classes , is struck all of a sudden by a revelation and decides her true vocation is in marine biology , she simply quits theater studies and enrolls into science school .",pursuing;struck,7;18
1509,"Changing your mind like that would not be possible when you re like , say , 40 years old : no matter how hard you work , the competition will probably have been into your field for 10 or more years than you have , and that kind of gap is practically impossible to fill .",competition;into;gap;fill,28;33;49;54
1510,"So , if you re 40 years old and you ve been , say , a theater actress , you re probably bound to stay that ; or at least , you donothave all the opportunities you d have had , had you changed your mind at a younger age : in short , I guess we can safely say that getting old reduces the opportunities of successfully changing your career field .",bound;to;stay;have;had;reduces,22;23;24;34;41;65
1511,"However , there are clear advantages that go with older age , such as security , reduced uncertainty about the future , the comfort of relying on a family of your own , and that feeling of safety that having a steady job gives you : all this is more likely to happen as age increases .",relying;safety;steady,25;37;41
1512,"It is wise though not to generalize too much : in those countries where the job market does not present high levels of protection , job-security might be low for the old as well as for the young ; and when divorce is a popular behavior , your dream of a happy family can be easily shattered and turn into a nightmare .",dream;shattered;turn;into;a;nightmare,48;56;58;59;60;61
1513,"I disagree with this statment , i think older people enjoy life more then longer ones , becouse older people have the money , the time the and health .",have,20
1514,"As of the money older people have alot of money form their savings over the years , form down sizing as they dont need to be in big houses so they down size as they move in smaller houses and get alot of money from this , also they have their retirement plans which give them good money every month which they can relay on .",relay,63
1515,"As of the time mostof them are retired so they have alot of time to enjoy so you will find them traveling alot engaged in social activity doing fancy sports like golfing , sailing and fishing which need alot of money and time .",have;need,10;37
1516,"if we go through the economics magazines we will find alot of atrticals about the elderly people and the baby boomers and how much they spend on traveling , entertaiment and sports .",,
1517,"Also they have extent health services they have the most advanced health facilities in the world , you can see now that the avarage life span for the female in the USA is 79 years for the male is 73 years , so they have every thing to enjoy thier life .",,
1518,"On the other hand younger people have to work very hard to pay their bills for example if a graduate student is working in a good job and have good career he has to work very hard in order to pay his student loans , if he dosent have a loan he has to pay his mortgage on his house , if a young person doesnot have an academic degree he or she has to work in more than one job in order to live decent life so after a hard working day both of them donot have the time or energy to enjoy or do some thing else , and if they want to do any thing they have to plan it a years ahead charge it on credit card and then pay later over the years with the intrest , also younger people have to work hard and plan for their retirment .",have,97
1519,So after all these resons i think older poeple are enjoying their life more then younger ones .,,
1520,"Young people today are faced with constant pressures from their family , school , and community .",faced;pressures,4;7
1521,The lives of each young person or teenager today focuses around a common goal of education .,focuses,9
1522,With all the pressures of education and family expectations the time that each young person gives to helping the community is not enough .,pressures;gives,3;15
1523,In reality young people today do help the community but the factor that should be looked at is when do they help the community .,,
1524,They help the community every summer when the work load of school is decreased .,work;load,8;9
1525,During the summer young people look for summer jobs helping their families and working in small businesses .,,
1526,These summer jobs that each young person is dedicated to bring the community closer and help the community be stronger for the future .,bring;closer;stronger,10;13;19
1527,Each young person helps the community in an indirect way by working in different aspects to strengthen the bonds of community .,strengthen;bonds,16;18
1528,When a young person works in the Super Market he greets everyone in the community with warmth and works to give an extra hand to the Super Market and this in the long run benefits the community because a strong community is a happy one provided with all their food resources from the Super Market .,warmth;hand;in;the;long;run;strong,16;23;30;31;32;33;39
1529,In another example when a young person volunteers in the summer to work in an orphanage they are helping the community greatly because when any person volunteers they are giving without expecting something back ; they are giving to help the community .,giving;back;giving,29;33;37
1530,The question that should be asked is how much time should each person give to helping the community ?,give,13
1531,Each young person should dedicate the time they gave to helping the community during the summer throughout the whole year .,gave,8
1532,Even if it was for only five minutes a day it would benefit the community significantly in the future .,,
1533,In conclusion young people are helping the community but they need to give more time to helping it .,give,12
1534,I disagree with the statement .,,
1535,Travel around the world is an experience that give you the opportunity to open your mind and develop new points of view .,open;develop;points;of;view,13;17;19;20;21
1536,"Travel is not always connected with as much information you can add to your knowledge , travel is more than that !",connected;add,4;11
1537,It s connected with emotions .,connected,2
1538,A new trip is like a new person in your life .,person,7
1539,"You can imagine how could be this relationship if it s led by someone else , a guide !",relationship,7
1540,You can not plan in advance exactly what you are going to receive from something that you donotknow yet .,receive,12
1541,"Of course you have to make a plan of your trip especially according with your time and budget available , but it s always important have the opportunity to change if you find something that you donotenjoy .",,
1542,"A guide may be usefull for old people , because they have no more the energy to organize all the trip .",energy,15
1543,And travel with other people can be an opportunity to feel more security .,,
1544,The sense of freedom for me is important .,,
1545,It s a waste of time waiting for other decision .,waste,3
1546,"I want Travel alone is also cheaper , because you can choose your own",,
1547,I believe that the young people nowadays are at least trying to give enough time to help their communities .,give,12
1548,It seems as if we are not helping at all because we do not have enough time in our lives to fully commit a hundred percent of ourselves in the service .,have;fully;a;hundred;percent;of,14;21;23;24;25;26
1549,"However , we can help others little by litte .",little;by;litte,6;7;8
1550,What are our communities anyway ?,,
1551,Are they countries or neighbors ?,,
1552,"At least my school , American School In Japan , focuses on service to our communities , both countries and neighbors .",focuses,10
1553,"I recently joined a club in my school called Sok Sabay , which supports Cambodian orphanages to provide home and food supply .",supports,13
1554,It is a non-profit organization and all of our profits that we make as a club goes straight to the shelter in Cambodia .,straight,17
1555,"We sometimes collect clothes , pencils , toys , and books for children and send them .",,
1556,"Then we get thanks letters from those children , which is are primary source of our happiness and motivation for commitment in the club .",,
1557,Sok Sabay is not the only non-profit organization in my school .,,
1558,"There are Habitat for Humanity , Phillipine Relief Organization , and UNICEF .",,
1559,"Most of the students join in one of those clubs , and some of them even join in all of them .",,
1560,"Although we are busy with our lives , we do try to somehow be in part of the service program for other countries .",busy;with;part,3;4;15
1561,"I am also in National Honor Society , which strongly focuses on service program , especially towards our neighbor communities .",strongly;focuses,9;10
1562,"We make rice balls for homeless people on the weekends , and visit orphanage shelter about once a month .",,
1563,"Although it is optional to attend those active , most of the members of NHS help willingly .",,
1564,We also support the Runnathon acitivity once a year with American Club .,support,2
1565,"Moreover , we have meetings almost every week to keep in our minds that we are NHS members and it is necessary to think about the issues of service programs .",keep;in,9;10
1566,We actively help and support our neighbors .,actively;support,1;4
1567,"Although there are young people who do not care about others at all , I believe that people in my school are different .",,
1568,"We know somehow that we should be in part of some services , or at least think about it .",part,8
1569,I do not believe in necessity of having enough time for service .,having,7
1570,"Nothing is enough , therefore , we need to keep reminding ourselves that taking an action worths while .",,
1571,"Even a little action can help someone , and that is how my school builds the sense of service towards others .",little;builds,2;14
1572,I strongly hope so !,strongly,1
1573,"I am rather stuffed by the continous hearing of noisy car , the pollution they produce and the stress they increase in people all the day .",stuffed,3
1574,I think that the number of cars must be reduced for a lot of reason of any kind .,,
1575,"There are too many cars in cities : I m thinking of all the time i have been blocked in traffic , I m thinking at the stress that produce a situation like been in a jungle of clayton sound , peolpe that insult each others with no reason , all the important appointed participated ...",blocked;jungle,18;36
1576,Cars are expensive : since the car has began a status symbol its price has risen enormously .,symbol,11
1577,"And the more people continue buying the cars at any price the more the price will rise Air pollution is caused by car : have you ever asked yourself how does it cost all the publics works to clean the building of the cities from the thick dark layer of smog that cover them ? , or how dose it cost to restore the streets every two years ?",,
1578,The public transport can be more efficient and less stressing : I think that public transport are the ony solution to the problem of the cars .,,
1579,"We offcourse can not avoid to travel , we need to , we only have to consider more efficient way to move .",,
1580,The most important features of public tranport is that the allow many people to travel at the same time with a grate maximization of the result at the same price .,,
1581,"Furthermore there are new technology that use not energy that involve pollution such as solar energy , wind energy and so on .",,
1582,I think that future must go in this direction to have a safe life for us and for future generations .,go;in;this;direction,5;6;7;8
1583,"Although old people are more mature than young persons and they have more money than them to make lots of interesting plans in life like traveling going to fancy restaurants and so on , responsabilities increase with age and i think the more you have responsabilies the less you will get to enjoy life .",increase;have,35;44
1584,the life of a student is full of surprising experiments that someone get to discover day after day .,full;experiments;discover,6;9;14
1585,"there is nothing more interesting that being a simple student who has no responsibility except just studying a little and spending all his free time getting to meet new friends , partying more often .",has;spending;free,11;20;23
1586,"I remember when i was a young person , it was the best time of my life i had meet alot a friends , its true am still in contact with them till now but it is just not the same thing when we were young , we dont see each other more often like we use to do , every time we want to meet we have to schedule our meetings in advance , and even when we meet we dont have fun like we use to do .",have,82
1587,Is it the age or what ?,,
1588,Is it because where are old this is happening ?,,
1589,"we can not stay up late anymore , we are thinking about collecting money and the difficulties and responsabilities of life .",collecting,12
1590,"Another point to be mentioned is the health , i am an athlete , i enjoy doing sport , gathering with my friends around a soccer game , but unfortunately i can not do this anymore .",,
1591,Every time i do a small effort i stop right away because i can not continue .,small,5
1592,It is all related to growing older and older and having alot of responsabilities .,having,10
1593,"Another thing to talk about it the house duties , shoping cleaning kind demands , we have to do all of this over the weekend when we have a little of free time All these things make us more and more busy not enjoying life and days after day with someone becoming older responsabilities increase i think young people enjoy life more than old people .",have;free;increase,27;31;54
1594,It is controversial discussion tp define a positive cause of success in humans life .,,
1595,Some people believe successful people are only from their knowledge that was acquired in previous their life while others do believe that successful people are made up from an effort of trying new things and taking risks .,made;up;from,25;26;27
1596,"Answer for this question varied from what he or her experienced and learned in his or her life , and for me , it is important that to define what is successful life by various aspects .",,
1597,In my case .,,
1598,I tried new things with risks as well as use my knowledge that I already had .,,
1599,"When I was twenty years old , I skied at mountainous areas in my home country .",,
1600,"Before going ski , I learned and practiced what is ski , and the practicable way for improvement my skills of skiing .",,
1601,"I read some books of skiing , watching videos , consulted with my senior friend who is good at skiing .",,
1602,"After arrival of mountain , I realized that the knowledge that acquired before come to skiing is useful .",,
1603,"A book stated that manner in the communication of skiers , and I communicated with that approriate manner so that other players warmly welcomed me for a part of whole skiers .",warmly,22
1604,"However , stayed areas several days , I felt to needy of more practice of skiing , and there were no one could teach me how to improve .",,
1605,I already finished studying that I practiced before skiing .,,
1606,I finally decided to imitate an action of other matured players .,,
1607,That decision is a trial for me because I never practiced before at that way .,,
1608,My decision eventually well worked my skills of skiing .,,
1609,I was satisfied from both knowledge and trying new things .,,
1610,"It seems both ways are equally valued , though in fact it is not same value for me .",valued;value,6;15
1611,"While turned out results from both experiences are same , the method and the time that brings a result is not same .",,
1612,"Trial depended method for reaching success does not care about how long that the process consume a time , even sometimes trial method requires a longer time .",reaching;consume;requires,4;15;23
1613,I beleive the time has ultimate value in my life .,value,6
1614,"If both way can give me a primises of successful life , I choose the success is based on time saved method .",primises;based;saved,7;17;20
1615,"Therefore , I prefer to knowledge since knowledge save a time than the trying and taking risks actions do .",save,8
1616,Cars have been the means of transportation around the world for centuries .,,
1617,It is no doubt that the car is a major part of many peoples lives .,part,10
1618,So will there be fewer cars in use twenty years from now ?,,
1619,"Well , I think that the car will very much be present twenty years from now and probably with more users then ever , with a few changes to the car s functions and design of course .",,
1620,I think that the car will change greatly over a twenty year period .,,
1621,Resulting in a burst of popularity with many individuals around the world .,burst,3
1622,I think that many of the functions of the cars will be changed as well .,,
1623,"I think that the car , twenty years from now will use electric fuel not gasoline .",,
1624,I think this because there are many problems arising around the world regarding the price of gasoline .,,
1625,"Not only is the price of gasoline expensive but it is also destroying the atmosphere , resulting in global warming .",destroying,12
1626,"I feel that the car industry will thus , shift its vision on cars from gasoline to highly productive , well-made electric cars .",shift;its;vision,9;10;11
1627,"These electric cars will not only run on small amounts of electricity , but it will also have no exhaust pollution , creating a better and cleaner environment .",run,6
1628,It is because that I think these changes will occur that I say that the number of cars will not diminish in the future .,,
1629,I feel that with the environmentally friendly benefits and with the attachment that society already has on cars will make people keep riding cars .,friendly;attachment,6;11
1630,I also think that there will not be fewer cars in twenty years because I think that many people in many societies are very attached to the car .,attached,24
1631,"It is not a mere transportation vehicle , but it is a part of tradition to drive a car in many countries .",,
1632,"For example , it is a tradition to get your drivers license when you turn the age of 16 in America .",,
1633,"Also it is a sign of wealth in many countries to own a car in many countries , such as China .",sign,4
1634,"Therefore , I feel that there will not be a decline in the use of cars because ; by losing the car you will lose many traditions , and traditions are a part of culture .",losing;lose,19;24
1635,So it is hard for me to think that the human race would diminish an entire part of culture from there lives within a short period of twenty years .,diminish;part,13;16
1636,"The attachment to cars by the human society and the possiblity to alter cars to better suit the needs of the environment and the people , make me conclude that the usage of cars will not decline in twenty years .",attachment,1
1637,I donotthink that there will be fewer cars in use than there are today by three reasons .,,
1638,Cars are expanded too much to cut off from our lives .,expanded;cut;off;from,2;6;7;8
1639,"As many people know , cars are very convenient and usefull machine .",,
1640,In Japan you can get a drivers lisence for no reasons except if your are older than 18 .,,
1641,Many people has a dream to drive a car especially if you are a male .,dream,4
1642,So it is impossible to say that you can not use a car for daily life .,,
1643,"In a several years , I think cars wonotuse a gasoline than now .",,
1644,It is true that cars are not good for environment .,,
1645,But many car companys are trying to make a new type of a car .,,
1646,"For example , bride car .",,
1647,"In the future , there may be a car that moves only by a electricities and not by gasoline .",,
1648,This can prevent a green-house effect .,green-house,4
1649,So there will be any reasons for not useing a car .,,
1650,"If you donotuse a car for transport , there should be a alternative transportation .",,
1651,Not useing a car means you have to use a different transportation to go somewhere .,,
1652,"In Japan trains are very common , but it is not so common to use a trains in other countries as in Japan .",,
1653,"For instant , America .",,
1654,These are my opnion for the statement .,,
1655,I disagree with that young people enjoy life more than older people do becasue the following reason .,,
1656,"To enjoy life , first thing we have to realize is how precious our lives are .",precious,12
1657,The life does not have to be a special one such as celebrities s or politician s .,,
1658,The normal life itself is already special enough .,,
1659,Without appriciate our lives we never really enjoy neither youth or life .,appriciate,1
1660,However there are many young people who seem to loose their interest in thier lives .,loose,9
1661,"Even though they are many things from they can take advantages , such as education for all children , development of computer systems , easy access to all around the world , availability of social supports and so on , they do not seem to be happy .",take;advantages;access,9;10;25
1662,They rather seem to take all advatages for granted or do not realize how lucky they are .,advatages,6
1663,One of the reasons why young people lost their will to live thier life more actively is that they are not able to picturelize how they would be in ten years later .,lost;picturelize,7;23
1664,"Becasue of bad economy , political mess , deceiving politicians , strange teachers etc .",mess,6
1665,it is not easy to keep their dreams and ambitions for children .,keep;dreams,5;7
1666,Instead they learn the word That s life or That s the way it is with a feeling of giving up .,,
1667,"So , those children grow up and become young adult who has no vision for the future .",vision,13
1668,"On the other hands , even though older people is loosing their physical abilities they still have will to live .",loosing;have,10;16
1669,Especially old people who have war-experience know how to appriciate what we have .,have;appriciate;have,4;9;12
1670,Life becomes enjoyable as long as people appriciate it .,appriciate,7
1671,"If life is simply to consume time , it could be awful time for waitng the ending .",consume,5
1672,Some people feel that it is more important for students to learn facts rather than to understand ideas and concepts .,,
1673,Such peole tend to think that learning facts can be the most effective way of increasing their knowlege in a variety of subjects .,,
1674,"In my opinion , however , for students , comphrehending ideas and concepts are more important than learning facts .",,
1675,This essay will discuss two main reaons to support my opinion in more detail below .,support,8
1676,"First , I am definitely convinced that it is more important for studnets to understand ideas and concepts than it is for them to learn facts .",,
1677,"The reason is that by understanding ideas and concepts , students can improve their academic achievements more effectively .",,
1678,"In my exprience , for example , When I was in junior high school , I hated remembering a lot of formulas to solve math questions .",,
1679,"In the realm of mathematics , formulas mean facts .",,
1680,"However , When I took my math class from Mr Kimura for the first time at the age of 15 , I began to be good at math because he could teach me the concepts of formulas in very convincing ways .",,
1681,"That is , What I learned from his class is that in order to learn facts , understanding concepts or ideas which are strongly related to facts are indispensable to improve my academic achievement more quickly and effectively .",strongly,23
1682,"Second , I feel that it is more crucial for students to comprehend ideas and concepts than it is for them to learn facts because understanding ideas and concepts can help students to improve their imagination and creativity .",,
1683,"For instance , in my personal experience , when I encounter unfamiliar words and phrases for my study of English , I always try to come up with the concepts of those words and phrases by myself before looking into my dictionary or referenced books , and I do believe that repeating this kind of practice day after day , I will be able to be skillful in my creativity and imagination .",encounter,10
1684,"All in all , I strongly believe that for students , understanding ideas and concepts more important than learning facts not only because they can promote their academic performance more effectively and quickly but also because understanding concepts and ideas can be beneficial for students to improve their imagination and creativity .",strongly;promote,5;25
1685,"well to start with I utterly disagree with such statement because I believe that a man s life resembles the different semesters of the year , in each lies beauty and happiness as well as problems and solutions .",semesters;of;the;year;lies,21;22;23;24;28
1686,"younger people are more motivated to start thier journey in life , they feel stronger and more motivated to prove themselves , they have different kinds of activities and interest .",start;journey,6;8
1687,"they are in the spring semester of their lives , where they are still green and growing fast .",spring;semester;green;growing;fast,4;5;14;16;17
1688,they have a vast majority of choices and a load of decisions to make .,vast;majority;load,3;4;9
1689,"while older people are more relaxed , they are in the autum semester of thier lives , they made thier minds about the most crucial things in life , they took decisions and they are handling life more maturely , they are less motivated , but more aware .",autum;semester;handling,11;12;35
1690,what am trying to do is to shed more light on the mentality and the status of people at different stages of thier lives although it doesn effect or interact with how much they enjoy their life .,shed;more;light;on;stages,7;8;9;10;20
1691,"But , in my opinion , what does effect the level of happiness , pleasure or enjoyment in life differs from one individual to another , it is totally related to ones perception of life and his prioreties and goals .",level;perception,10;32
1692,how much did i achieved till now ?,,
1693,what I want from life ?,,
1694,what I need in life ?,,
1695,do i have it ?,,
1696,we ask ourselves these questions all the time .,,
1697,"So , does young people enjoy life more that older people ? !",,
1698,Not really .,,
1699,To sum up must say that people enjoy life regardless of thier age .,,
1700,"Thus what does make the difference is not the age , it is the individual personality and its look towards life , its achievments and the level of sucess and failure .",look;level,18;26
1701,I donotthink it can be considered as a natural rule the fact that older people enjoy life less than young people do .,natural;rule,10;11
1702,"At the same time I must say that it is what generally happens , and for several reasons .",,
1703,"First of all , we live in a society I m specifically talking about the italian society in which the age a person decides to leave his family , for many reasons such as lack of job opportunity , lack of bravery and so on , is close to 30 .",bravery,41
1704,"This means that , until that age , young people donotface a lot of responsabilities they ll be obliged to face in the future .",face;face,12;22
1705,"Less responsabilities for young people means at the same time : a more available time for them , who generally use it to enjoy life ; b less available time , and more and more thoughts in consequence to their responsabilities , for the parents .",available;use;available,13;20;28
1706,This is the general scheme of a normal italian family s dynamic .,scheme;dynamic,4;11
1707,Fortunately it-s not always like that .,,
1708,My personal experience support me stating hat .,,
1709,"In fact I left my house when I was 18 and I came to live and study here in Milan , where I found a job and have my life without any dependence from anyone .",,
1710,"That allowed also my parents to spend the time they earned in some other activities , like having hobbies , or developing their personal interests .",spend;earned,6;10
1711,Enjoying their time .,,
1712,Enjoying their life .,,
1713,"Even if this is the most important reasons that brings me to affirm that young people generally enjoy their life more than older ones , there s a second that is just a physiological reason .",,
1714,"It is not difficult to understand that when we are young , we feel like we can climb mountains , traveling around the world without stops .",,
1715,"We are full of energies , our bodies are ready to face almost every kind of situation .",full;face,2;11
1716,"It is not the same thing for older people , who necessarily have to maintain a sort of proportion between their efforts and the forces they dispose of .",proportion;between;dispose,18;19;26
1717,A lot of things become forbidden just for physical reasons .,forbidden,5
1718,"But on the other hand , as I said before , older people can enjoy their life in a different way , proportioned to their possibilities , like traveling , or developing interests",proportioned,22
1719,To be successful you have to take risks and experiment new things !,experiment,9
1720,I definitely support this vision of life and there are many reasons why I believe so .,support;vision,2;4
1721,"First of all we should learn from history and from our recent past that many successful people tried innovative things , instead of continuing doing the usual , and their creativity and courage to take risks has been prized .",prized,38
1722,"For example , in many fields of art , from cinema to graphic design , from theater to painting , people who took risks to create and promote forms of art that were different and new and maybe even risky for the big public , are now on art history books and are considered as masters of contemporary art !",,
1723,A second reason why I strongly think that innovative things are a fundamental basis for success is that things that represent the norm or the usual have their own market and this market is very unlikely to increase when it has reached a very established and balanced steady state .,strongly;fundamental;basis;reached;balanced;steady,5;12;13;41;46;47
1724,But innovative things can open new markets from nothing !,open,4
1725,Think about the fast food industry in Italy in the was !,,
1726,"Before the was Italians were not used to fast food , the way it was intended in the United States .",,
1727,The first business man who decided to open the first hamburger fast food had to fight against the usual habit of Italian people to eat a simple panino sandwich in Italian or pizza .,fight,15
1728,"Sure the decision was risky , but 25 years down the line we have a McDonald s or a Burger King in any city center ...",down;the;line,9;10;11
1729,even adjacent to very important and beautiful historical buildings .,,
1730,"Maybe our landscapes have not benefited from it , but the owner of these chains had a great deal with his innovative entrepreneurial attitude .",,
1731,It can certainly be argued that for every positive and succesfull experience there are many others that donotreach the same goal of notoriety or economical success and risk is always a matter of chance !,reach,19
1732,"Nevertheless it is certainly true that , by not taking the risk of trying new things , success is very hard to obtain if one keeps doing the same and does not differentiate himself or herself from the rest of the people .",obtain,22
1733,I agree that it is more important for students to understand ideas and concepts than it is for them to learn facts .,,
1734,Usually teachers tend to show the answer to students when students do not know the answer because they may think that it is better for student to understand or is easy to teach for teachers .,,
1735,"However , students need an ability to understand idea and concepts .",,
1736,"Also , when they become a member of a society , it must be needed to state their opinion .",,
1737,There are some factors what is important for students .,,
1738,"Fist of all , Getting an ability to understand is more important than other skills .",Getting,4
1739,"For example , when students study about math , it will not good to students if teachers give the answer to them immidetaly because a skill of understanding or thinking is getting decrease .",give,17
1740,"I believe that when students think deeply about how they can solve the question , their brain work more activity and this action leads to the improvment of their brain .",deeply;leads;improvment,6;23;26
1741,"Second of all , Understanding ideas and concepts are more necessary than other learning in the business situation .",,
1742,"For instance , when you become a member of a society , you must give your opinion or are required your idea because most of companies need a person who are independent and have a good personality .",,
1743,"So , If you usually know the facts , you may not get understanding idea because , you usually think about it after you knew the answer .",,
1744,"Therefore , I believe that people often are needed understanding ideas and concepts in business situation .",,
1745,"In conclusion , I totally agree that it is more important for students to understand ideas and concepts than it is for them to learn facts because of getting skills and necessity in the business situation .",getting,28
1746,Most advertisements makes products seem much better than they realy are .,,
1747,"I totaly agree with this statement , most of advertisements give the consumers the advantages that they can get by using the products , and they try to avoid mentioning the disadvantages or the misuse or side-effects .",,
1748,"To give a life example of that statments , i will give an example from my personal field which is pharmacy .",,
1749,"Patients or Consumers in other words like most of medical companies prefer to address them , see the advertisements on TV , or newspaper .",,
1750,and easily get convinced with the mediation because of the following .,,
